AltitudeBin,NumberStruck,Effect,FlightMonth,Damage,Engines,FlightPhase,ConditionsPrecipitation,WildlifeSize,ConditionsSky,PilotWarned,PeopleInjured,IsAircraftLarge?
"(3000, 5000]",2 to 10,Other,5,No damage,2,Approach,None,Large,No Cloud,N,0,No
"(3000, 5000]",2 to 10,None,5,No damage,2,Descent,None,Medium,No Cloud,N,0,No
"(-1, 0]",2 to 10,None,5,No damage,2,Landing Roll,None,Small,Some Cloud,Y,0,No
"(-1, 0]",2 to 10,None,5,No damage,2,Take-off run,None,Small,No Cloud,N,0,No
"(-1, 0]",2 to 10,None,5,No damage,2,Landing Roll,None,Small,Some Cloud,N,0,Yes
"(0, 10]",2 to 10,None,5,No damage,1,Approach,None,Small,No Cloud,Y,0,No
"(400, 600]",2 to 10,Other,6,No damage,2,Approach,None,Medium,No Cloud,Y,0,No
"(10, 30]",2 to 10,None,6,No damage,2,Approach,None,Small,No Cloud,N,0,Yes
"(-1, 0]",2 to 10,None,6,No damage,2,Landing Roll,Rain,Small,Overcast,Y,0,No
"(-1, 0]",2 to 10,None,6,No damage,2,Take-off run,Rain,Small,Overcast,Y,0,No
"(30, 50]",2 to 10,None,6,No damage,2,Approach,None,Small,Overcast,Y,0,Yes
"(-1, 0]",2 to 10,None,6,No damage,2,Take-off run,Fog,Small,Overcast,Y,0,No
"(-1, 0]",2 to 10,None,6,No damage,2,Landing Roll,None,Medium,Some Cloud,Y,0,Yes
"(-1, 0]",2 to 10,None,6,No damage,2,Landing Roll,None,Small,Some Cloud,N,0,No
"(-1, 0]",2 to 10,None,6,No damage,2,Landing Roll,None,Small,Some Cloud,Y,0,No
"(-1, 0]",2 to 10,None,6,No damage,2,Take-off run,None,Small,Some Cloud,Y,0,No
"(-1, 0]",2 to 10,None,6,No damage,2,Landing Roll,None,Small,No Cloud,Y,0,No
"(30, 50]",2 to 10,None,6,No damage,2,Approach,None,Small,No Cloud,N,0,No
"(400, 600]",2 to 10,Precautionary Landing,6,No damage,2,Climb,None,Medium,No Cloud,N,0,No
"(30, 50]",2 to 10,None,6,No damage,2,Approach,None,Medium,No Cloud,N,0,Yes
"(200, 400]",2 to 10,None,6,No damage,2,Approach,None,Small,Some Cloud,Y,0,No
"(-1, 0]",2 to 10,None,6,No damage,2,Landing Roll,None,Small,Some Cloud,N,0,Yes
"(30, 50]",2 to 10,None,6,No damage,2,Approach,None,Small,No Cloud,N,0,No
"(10, 30]",2 to 10,None,6,No damage,2,Climb,None,Small,Some Cloud,Y,0,No
"(-1, 0]",2 to 10,None,6,No damage,2,Take-off run,None,Small,No Cloud,N,0,Yes
"(-1, 0]",2 to 10,None,6,No damage,2,Take-off run,None,Small,Overcast,Y,0,No
"(-1, 0]",2 to 10,None,6,No damage,2,Take-off run,None,Small,Overcast,Y,0,Yes
"(30, 50]",2 to 10,None,6,No damage,2,Climb,None,Small,No Cloud,N,0,Yes
"(-1, 0]",2 to 10,None,6,No damage,2,Landing Roll,None,Small,Some Cloud,Y,0,No
"(-1, 0]",2 to 10,None,6,No damage,2,Take-off run,None,Small,Some Cloud,Y,0,Yes
"(0, 10]",2 to 10,None,6,No damage,2,Climb,None,Small,No Cloud,Y,0,Yes
"(0, 10]",2 to 10,None,7,No damage,2,Approach,None,Small,Some Cloud,N,0,No
"(0, 10]",2 to 10,None,7,No damage,2,Climb,None,Small,No Cloud,Y,0,Yes
"(-1, 0]",2 to 10,None,7,No damage,2,Landing Roll,None,Small,Some Cloud,Y,0,No
"(50, 100]",2 to 10,None,7,No damage,2,Approach,None,Small,Some Cloud,Y,0,No
"(50, 100]",2 to 10,None,7,No damage,2,Climb,None,Small,Some Cloud,Y,0,No
"(600, 1000]",2 to 10,None,7,No damage,2,Approach,None,Medium,Some Cloud,N,0,No
"(600, 1000]",2 to 10,None,7,No damage,2,Climb,None,Medium,Some Cloud,N,0,Yes
"(600, 1000]",2 to 10,None,7,No damage,2,Approach,None,Medium,Overcast,N,0,No
"(-1, 0]",2 to 10,None,7,No damage,2,Take-off run,None,Small,Overcast,Y,0,No
"(0, 10]",2 to 10,None,7,No damage,2,Approach,None,Small,No Cloud,Y,0,Yes
"(50, 100]",2 to 10,None,7,No damage,2,Approach,None,Small,Some Cloud,Y,0,Yes
"(30, 50]",2 to 10,None,7,No damage,3,Approach,None,Small,No Cloud,Y,0,No
"(-1, 0]",2 to 10,None,7,No damage,2,Landing Roll,None,Small,Some Cloud,Y,0,No
"(200, 400]",2 to 10,None,7,No damage,2,Approach,None,Small,No Cloud,N,0,Yes
"(0, 10]",2 to 10,None,7,No damage,2,Approach,None,Small,No Cloud,N,0,No
"(0, 10]",2 to 10,None,7,No damage,2,Approach,None,Small,No Cloud,Y,0,No
"(0, 10]",2 to 10,None,7,Caused damage,2,Approach,None,Small,No Cloud,Y,0,No
"(10, 30]",2 to 10,None,7,No damage,2,Approach,None,Small,No Cloud,N,0,No
"(100, 200]",2 to 10,None,7,No damage,2,Approach,None,Small,No Cloud,N,0,No
"(50, 100]",2 to 10,None,7,No damage,2,Climb,None,Small,No Cloud,Y,0,Yes
"(-1, 0]",2 to 10,None,7,No damage,2,Landing Roll,None,Small,No Cloud,N,0,No
"(30, 50]",2 to 10,None,7,No damage,2,Climb,None,Small,No Cloud,Y,0,No
"(-1, 0]",2 to 10,None,7,No damage,2,Take-off run,None,Small,No Cloud,Y,0,No
"(-1, 0]",2 to 10,None,7,No damage,2,Take-off run,None,Small,No Cloud,N,0,No
"(-1, 0]",2 to 10,Aborted Take-off,7,No damage,2,Take-off run,None,Small,No Cloud,N,0,No
"(-1, 0]",2 to 10,None,7,No damage,2,Take-off run,Rain,Small,Some Cloud,Y,0,Yes
"(-1, 0]",2 to 10,None,7,Caused damage,2,Landing Roll,None,Small,No Cloud,Y,0,No
"(100, 200]",2 to 10,None,7,No damage,2,Climb,None,Small,No Cloud,N,0,No
"(50, 100]",2 to 10,None,7,No damage,2,Climb,None,Small,No Cloud,Y,0,Yes
"(-1, 0]",2 to 10,None,7,No damage,2,Landing Roll,None,Small,No Cloud,N,0,Yes
"(-1, 0]",2 to 10,None,7,No damage,2,Take-off run,None,Small,Some Cloud,Y,0,No
"(-1, 0]",2 to 10,None,7,No damage,2,Landing Roll,None,Small,Some Cloud,N,0,No
"(-1, 0]",2 to 10,None,7,No damage,2,Landing Roll,None,Small,No Cloud,Y,0,Yes
"(-1, 0]",2 to 10,None,7,No damage,2,Landing Roll,None,Small,No Cloud,Y,0,Yes
"(-1, 0]",2 to 10,Aborted Take-off,7,Caused damage,2,Take-off run,None,Large,No Cloud,N,0,No
"(10, 30]",2 to 10,None,7,No damage,2,Climb,None,Small,No Cloud,N,0,No
"(-1, 0]",2 to 10,None,7,No damage,2,Take-off run,None,Small,Some Cloud,N,0,No
"(-1, 0]",2 to 10,None,7,No damage,2,Landing Roll,None,Small,No Cloud,N,0,Yes
"(-1, 0]",2 to 10,None,7,No damage,2,Take-off run,Fog,Small,Some Cloud,Y,0,No
"(50, 100]",2 to 10,None,8,No damage,2,Approach,None,Small,No Cloud,Y,0,Yes
"(50, 100]",2 to 10,None,8,No damage,2,Approach,None,Small,Some Cloud,N,0,No
"(0, 10]",2 to 10,None,8,No damage,2,Approach,None,Small,Some Cloud,N,0,No
"(-1, 0]",2 to 10,Aborted Take-off,8,No damage,2,Take-off run,None,Small,Overcast,Y,0,No
"(-1, 0]",2 to 10,Precautionary Landing,8,No damage,2,Take-off run,None,Small,No Cloud,N,0,No
"(30, 50]",2 to 10,None,8,No damage,2,Climb,None,Small,No Cloud,N,0,Yes
"(10, 30]",2 to 10,None,8,No damage,2,Climb,None,Small,Some Cloud,N,0,No
"(-1, 0]",2 to 10,None,8,No damage,2,Landing Roll,None,Small,No Cloud,N,0,No
"(-1, 0]",2 to 10,None,8,No damage,2,Landing Roll,Fog,Small,Overcast,N,0,No
"(30, 50]",2 to 10,None,8,No damage,2,Approach,None,Small,Some Cloud,Y,0,Yes
"(50, 100]",2 to 10,None,8,No damage,2,Approach,None,Small,No Cloud,N,0,Yes
"(0, 10]",2 to 10,None,8,No damage,2,Approach,None,Small,Some Cloud,N,0,No
"(-1, 0]",2 to 10,None,8,No damage,2,Take-off run,None,Small,Some Cloud,N,0,No
"(-1, 0]",2 to 10,None,8,No damage,2,Take-off run,None,Small,No Cloud,N,0,No
"(50, 100]",2 to 10,None,8,No damage,2,Approach,None,Medium,No Cloud,N,0,Yes
"(0, 10]",2 to 10,None,8,No damage,2,Climb,None,Small,Some Cloud,N,0,No
"(-1, 0]",2 to 10,None,8,No damage,2,Take-off run,None,Small,No Cloud,Y,0,No
"(-1, 0]",2 to 10,None,8,No damage,2,Landing Roll,None,Small,No Cloud,Y,0,Yes
"(0, 10]",2 to 10,None,8,Caused damage,2,Approach,None,Large,No Cloud,N,0,No
"(-1, 0]",2 to 10,None,8,Caused damage,2,Landing Roll,None,Small,No Cloud,Y,0,No
"(-1, 0]",2 to 10,None,8,Caused damage,2,Take-off run,None,Small,Some Cloud,Y,0,No
"(0, 10]",2 to 10,None,8,No damage,2,Climb,None,Small,Some Cloud,N,0,Yes
"(-1, 0]",2 to 10,None,8,No damage,2,Landing Roll,None,Small,No Cloud,N,0,No
"(-1, 0]",2 to 10,None,8,No damage,2,Landing Roll,None,Medium,Some Cloud,Y,0,Yes
"(100, 200]",2 to 10,None,8,Caused damage,2,Approach,None,Medium,No Cloud,N,0,No
"(50, 100]",2 to 10,None,8,No damage,2,Approach,None,Medium,Some Cloud,N,0,No
"(-1, 0]",2 to 10,None,8,No damage,2,Landing Roll,None,Small,No Cloud,N,0,Yes
"(30, 50]",2 to 10,None,8,No damage,2,Climb,None,Small,No Cloud,Y,0,No
"(400, 600]",2 to 10,None,8,No damage,2,Approach,None,Medium,No Cloud,N,0,Yes
"(200, 400]",2 to 10,None,8,No damage,2,Approach,None,Small,No Cloud,N,0,No
"(50, 100]",2 to 10,None,8,No damage,2,Climb,None,Small,Some Cloud,N,0,No
"(200, 400]",2 to 10,None,8,No damage,2,Climb,None,Small,Some Cloud,Y,0,No
"(-1, 0]",2 to 10,None,8,No damage,2,Landing Roll,None,Small,Some Cloud,Y,0,Yes
"(-1, 0]",2 to 10,None,8,No damage,2,Take-off run,None,Small,Some Cloud,Y,0,Yes
"(-1, 0]",2 to 10,None,8,No damage,2,Landing Roll,None,Small,No Cloud,N,0,No
"(50, 100]",2 to 10,Other,8,No damage,2,Approach,None,Small,Some Cloud,N,0,No
"(-1, 0]",2 to 10,None,8,No damage,2,Landing Roll,None,Small,No Cloud,N,0,No
"(30, 50]",2 to 10,None,8,No damage,2,Approach,None,Small,Some Cloud,Y,0,No
"(200, 400]",2 to 10,None,8,No damage,2,Approach,None,Small,No Cloud,N,0,No
"(-1, 0]",2 to 10,None,8,No damage,2,Take-off run,None,Small,Some Cloud,N,0,Yes
"(-1, 0]",2 to 10,None,8,No damage,2,Landing Roll,Rain,Small,Overcast,N,0,Yes
"(100, 200]",2 to 10,Precautionary Landing,8,No damage,2,Climb,None,Small,No Cloud,Y,0,No
"(-1, 0]",2 to 10,None,8,No damage,2,Landing Roll,None,Small,Some Cloud,Y,0,No
"(100, 200]",2 to 10,None,8,No damage,2,Climb,None,Medium,Some Cloud,N,0,Yes
"(-1, 0]",2 to 10,None,8,No damage,2,Landing Roll,None,Small,Overcast,Y,0,No
"(30, 50]",2 to 10,Precautionary Landing,8,Caused damage,2,Climb,None,Small,No Cloud,Y,0,No
"(-1, 0]",2 to 10,None,8,No damage,2,Take-off run,None,Small,Overcast,N,0,No
"(5000, 18000]",2 to 10,None,8,No damage,4,Approach,None,Medium,No Cloud,N,0,No
"(-1, 0]",2 to 10,None,8,No damage,3,Landing Roll,None,Small,No Cloud,N,0,No
"(-1, 0]",2 to 10,Precautionary Landing,8,No damage,2,Take-off run,None,Small,Some Cloud,Y,0,No
"(-1, 0]",2 to 10,Aborted Take-off,8,Caused damage,1,Take-off run,None,Large,No Cloud,Y,0,No
"(-1, 0]",2 to 10,None,9,No damage,1,Landing Roll,None,Large,No Cloud,Y,0,No
"(-1, 0]",2 to 10,None,9,No damage,2,Take-off run,None,Small,Some Cloud,N,0,No
"(-1, 0]",2 to 10,None,9,No damage,2,Take-off run,Rain,Small,Overcast,N,0,No
"(-1, 0]",2 to 10,None,9,No damage,2,Take-off run,None,Small,No Cloud,Y,0,No
"(-1, 0]",2 to 10,None,9,No damage,2,Landing Roll,Rain,Small,Overcast,N,0,Yes
"(-1, 0]",2 to 10,Aborted Take-off,9,No damage,2,Take-off run,None,Small,Overcast,N,0,No
"(-1, 0]",2 to 10,None,9,No damage,2,Landing Roll,None,Small,No Cloud,Y,0,No
"(3000, 5000]",2 to 10,None,9,No damage,2,Descent,None,Small,No Cloud,N,0,Yes
"(-1, 0]",2 to 10,None,9,No damage,2,Landing Roll,None,Small,No Cloud,Y,0,No
"(-1, 0]",2 to 10,Other,9,No damage,2,Landing Roll,Rain,Small,Overcast,N,0,No
"(50, 100]",2 to 10,None,9,No damage,2,Approach,None,Medium,No Cloud,N,0,Yes
"(0, 10]",2 to 10,None,9,No damage,2,Climb,None,Small,No Cloud,Y,0,No
"(-1, 0]",2 to 10,None,9,No damage,2,Landing Roll,None,Small,No Cloud,Y,0,No
"(1000, 2000]",2 to 10,None,9,No damage,2,Approach,None,Medium,No Cloud,Y,0,No
"(-1, 0]",2 to 10,None,9,No damage,2,Take-off run,None,Small,No Cloud,N,0,No
"(-1, 0]",2 to 10,Other,9,No damage,1,Landing Roll,None,Small,No Cloud,Y,0,No
"(0, 10]",2 to 10,Precautionary Landing,9,Caused damage,2,Climb,None,Small,Some Cloud,Y,0,No
"(-1, 0]",2 to 10,None,9,No damage,2,Take-off run,None,Small,Overcast,N,0,No
"(200, 400]",2 to 10,None,9,No damage,2,Climb,None,Small,Overcast,N,0,No
"(-1, 0]",2 to 10,Aborted Take-off,9,Caused damage,2,Take-off run,Rain,Medium,Overcast,Y,0,No
"(-1, 0]",2 to 10,Precautionary Landing,9,Caused damage,2,Take-off run,None,Large,No Cloud,Y,0,No
"(-1, 0]",2 to 10,None,9,Caused damage,2,Landing Roll,None,Medium,Some Cloud,Y,0,Yes
"(-1, 0]",2 to 10,None,9,No damage,2,Take-off run,Rain,Small,Overcast,Y,0,Yes
"(-1, 0]",2 to 10,None,9,No damage,2,Landing Roll,None,Small,Some Cloud,Y,0,No
"(-1, 0]",2 to 10,None,9,No damage,2,Landing Roll,None,Medium,No Cloud,Y,0,Yes
"(2000, 3000]",2 to 10,Precautionary Landing,9,Caused damage,2,Climb,None,Large,Some Cloud,N,0,Yes
"(400, 600]",2 to 10,None,9,No damage,2,Approach,None,Small,No Cloud,Y,0,Yes
"(100, 200]",2 to 10,None,9,No damage,2,Approach,None,Large,No Cloud,N,0,Yes
"(200, 400]",2 to 10,None,9,No damage,2,Approach,None,Small,No Cloud,N,0,No
"(2000, 3000]",2 to 10,Precautionary Landing,9,Caused damage,1,Climb,None,Medium,Overcast,N,1,No
"(-1, 0]",2 to 10,None,9,No damage,2,Take-off run,None,Small,No Cloud,N,0,Yes
"(1000, 2000]",2 to 10,None,9,No damage,2,Approach,None,Medium,Some Cloud,Y,0,Yes
"(-1, 0]",2 to 10,None,9,No damage,2,Landing Roll,None,Small,No Cloud,Y,0,No
"(-1, 0]",2 to 10,None,9,Caused damage,2,Landing Roll,None,Large,Some Cloud,Y,0,No
"(5000, 18000]",2 to 10,None,9,Caused damage,2,Descent,None,Medium,Some Cloud,Y,0,No
"(-1, 0]",2 to 10,None,9,No damage,2,Landing Roll,Fog,Small,Overcast,N,0,No
"(2000, 3000]",2 to 10,None,9,No damage,2,Approach,None,Medium,No Cloud,N,0,Yes
"(200, 400]",2 to 10,None,9,No damage,2,Approach,None,Small,No Cloud,N,0,No
"(1000, 2000]",2 to 10,None,9,No damage,2,Approach,None,Medium,No Cloud,N,0,Yes
"(2000, 3000]",2 to 10,None,10,No damage,2,Climb,None,Medium,No Cloud,N,0,Yes
"(-1, 0]",2 to 10,None,10,No damage,2,Landing Roll,None,Small,Some Cloud,Y,0,No
"(30, 50]",2 to 10,None,10,No damage,2,Climb,None,Small,No Cloud,Y,0,No
"(-1, 0]",2 to 10,None,10,No damage,2,Landing Roll,None,Small,No Cloud,Y,0,No
"(-1, 0]",2 to 10,None,10,No damage,2,Landing Roll,None,Large,Overcast,N,0,No
"(50, 100]",2 to 10,None,10,No damage,2,Climb,None,Small,No Cloud,N,0,Yes
"(-1, 0]",2 to 10,Other,10,No damage,2,Landing Roll,None,Medium,No Cloud,N,0,No
"(-1, 0]",2 to 10,None,10,No damage,2,Landing Roll,None,Small,No Cloud,Y,0,No
"(2000, 3000]",2 to 10,None,10,No damage,2,Approach,None,Small,No Cloud,Y,0,Yes
"(-1, 0]",2 to 10,None,10,No damage,2,Landing Roll,None,Large,Overcast,Y,0,No
"(1000, 2000]",2 to 10,None,10,Caused damage,2,Approach,None,Medium,Some Cloud,Y,0,Yes
"(0, 10]",2 to 10,None,10,No damage,2,Approach,None,Small,No Cloud,N,0,No
"(10, 30]",2 to 10,Precautionary Landing,10,Caused damage,3,Climb,None,Large,No Cloud,Y,0,No
"(400, 600]",2 to 10,None,10,No damage,2,Approach,None,Small,No Cloud,Y,0,No
"(200, 400]",2 to 10,None,10,No damage,2,Approach,None,Small,No Cloud,N,0,No
"(-1, 0]",2 to 10,None,10,No damage,2,Landing Roll,None,Small,No Cloud,Y,0,No
"(-1, 0]",2 to 10,None,10,No damage,2,Take-off run,None,Small,Some Cloud,N,0,Yes
"(600, 1000]",2 to 10,None,10,No damage,2,Approach,None,Medium,No Cloud,N,0,Yes
"(3000, 5000]",2 to 10,Precautionary Landing,10,No damage,2,Climb,None,Medium,No Cloud,Y,0,No
"(10, 30]",2 to 10,None,10,No damage,2,Approach,Rain,Small,Overcast,N,0,No
"(100, 200]",2 to 10,None,10,No damage,2,Approach,None,Small,Some Cloud,Y,0,No
"(400, 600]",2 to 10,None,10,Caused damage,2,Approach,None,Medium,No Cloud,N,0,Yes
"(10, 30]",2 to 10,None,10,No damage,2,Approach,None,Small,Some Cloud,N,0,No
"(-1, 0]",2 to 10,None,10,No damage,2,Take-off run,None,Small,No Cloud,N,0,No
"(400, 600]",2 to 10,None,10,No damage,2,Approach,None,Large,No Cloud,N,0,No
"(2000, 3000]",2 to 10,None,10,No damage,2,Approach,None,Small,No Cloud,N,0,No
"(2000, 3000]",2 to 10,None,10,No damage,1,Approach,None,Small,Some Cloud,N,0,No
"(-1, 0]",2 to 10,None,10,No damage,2,Take-off run,Rain,Small,Overcast,N,0,No
"(600, 1000]",2 to 10,None,10,Caused damage,2,Climb,None,Large,No Cloud,N,0,No
"(-1, 0]",2 to 10,None,10,No damage,2,Landing Roll,None,Small,No Cloud,Y,0,No
"(-1, 0]",2 to 10,None,10,No damage,2,Landing Roll,None,Small,No Cloud,N,0,No
"(-1, 0]",2 to 10,None,10,No damage,2,Landing Roll,None,Small,No Cloud,Y,0,No
"(-1, 0]",2 to 10,None,10,No damage,2,Landing Roll,None,Small,Some Cloud,Y,0,No
"(-1, 0]",2 to 10,None,11,No damage,2,Landing Roll,None,Small,No Cloud,Y,0,No
"(10, 30]",2 to 10,None,11,No damage,2,Approach,Rain,Small,Overcast,N,0,No
"(50, 100]",2 to 10,None,11,No damage,2,Approach,None,Small,No Cloud,Y,0,No
"(200, 400]",2 to 10,None,11,No damage,2,Approach,None,Small,No Cloud,N,0,No
"(600, 1000]",2 to 10,None,11,No damage,2,Approach,None,Small,No Cloud,Y,0,No
"(5000, 18000]",2 to 10,None,11,No damage,2,Approach,None,Small,No Cloud,Y,0,Yes
"(1000, 2000]",2 to 10,None,11,Caused damage,2,Climb,None,Medium,Some Cloud,Y,0,No
"(-1, 0]",2 to 10,None,11,No damage,2,Take-off run,None,Small,Some Cloud,Y,0,No
"(10, 30]",2 to 10,None,11,No damage,1,Approach,None,Small,No Cloud,Y,0,No
"(30, 50]",2 to 10,None,11,No damage,2,Climb,None,Medium,Overcast,N,0,No
"(50, 100]",2 to 10,None,11,No damage,2,Climb,None,Small,Some Cloud,Y,0,Yes
"(1000, 2000]",2 to 10,None,11,No damage,2,Approach,None,Small,Some Cloud,N,0,No
"(400, 600]",2 to 10,None,11,No damage,2,Approach,None,Medium,No Cloud,N,0,No
"(-1, 0]",2 to 10,None,11,No damage,2,Take-off run,Rain,Small,Overcast,Y,0,No
"(-1, 0]",2 to 10,Aborted Take-off,11,No damage,2,Take-off run,None,Small,Overcast,N,0,Yes
"(400, 600]",2 to 10,None,11,No damage,2,Approach,None,Medium,No Cloud,N,0,Yes
"(-1, 0]",2 to 10,None,11,No damage,2,Landing Roll,Fog,Small,Overcast,N,0,No
"(-1, 0]",2 to 10,None,11,No damage,2,Landing Roll,Fog,Small,Overcast,N,0,No
"(1000, 2000]",2 to 10,None,11,Caused damage,2,Approach,Rain,Large,Some Cloud,N,0,No
"(2000, 3000]",2 to 10,None,11,Caused damage,2,Descent,None,Large,Overcast,N,0,Yes
"(-1, 0]",2 to 10,None,11,No damage,2,Landing Roll,None,Medium,Overcast,Y,0,No
"(10, 30]",2 to 10,None,11,No damage,2,Approach,None,Small,Overcast,N,0,No
"(-1, 0]",2 to 10,None,11,No damage,2,Take-off run,None,Small,No Cloud,N,0,Yes
"(3000, 5000]",2 to 10,None,11,Caused damage,2,Approach,None,Small,Some Cloud,Y,0,No
"(50, 100]",2 to 10,None,11,No damage,2,Approach,None,Small,No Cloud,Y,0,No
"(50, 100]",2 to 10,None,11,No damage,2,Climb,None,Small,Overcast,Y,0,No
"(600, 1000]",2 to 10,None,11,No damage,2,Approach,None,Small,No Cloud,N,0,Yes
"(100, 200]",2 to 10,None,11,No damage,2,Approach,None,Medium,No Cloud,N,0,Yes
"(0, 10]",2 to 10,None,11,No damage,2,Approach,None,Small,No Cloud,N,0,Yes
"(-1, 0]",2 to 10,None,11,No damage,2,Landing Roll,None,Small,No Cloud,Y,0,No
"(5000, 18000]",2 to 10,Precautionary Landing,11,Caused damage,2,Climb,None,Large,No Cloud,Y,0,No
"(100, 200]",2 to 10,None,11,No damage,2,Approach,None,Small,No Cloud,N,0,Yes
"(600, 1000]",2 to 10,None,11,No damage,2,Approach,None,Medium,No Cloud,N,0,Yes
"(400, 600]",2 to 10,None,11,Caused damage,2,Approach,None,Large,No Cloud,N,0,Yes
"(0, 10]",2 to 10,Precautionary Landing,11,No damage,1,Climb,None,Small,No Cloud,N,0,No
"(-1, 0]",2 to 10,None,11,No damage,2,Landing Roll,None,Small,Some Cloud,Y,0,Yes
"(-1, 0]",2 to 10,None,11,No damage,2,Landing Roll,None,Large,Some Cloud,Y,0,No
"(100, 200]",2 to 10,None,11,No damage,2,Approach,None,Small,No Cloud,N,0,Yes
"(30, 50]",2 to 10,None,11,No damage,2,Climb,Rain,Medium,Overcast,Y,0,No
"(-1, 0]",2 to 10,None,12,No damage,2,Landing Roll,None,Small,Overcast,Y,0,No
"(400, 600]",2 to 10,None,12,Caused damage,1,Approach,Fog,Medium,Overcast,Y,0,No
"(600, 1000]",2 to 10,None,12,Caused damage,2,Approach,Fog,Medium,Overcast,Y,0,Yes
"(100, 200]",2 to 10,None,12,No damage,2,Approach,None,Small,No Cloud,Y,0,No
"(400, 600]",2 to 10,Engine Shut Down,12,Caused damage,2,Climb,None,Medium,No Cloud,Y,0,No
"(5000, 18000]",2 to 10,None,12,Caused damage,2,Approach,None,Large,Some Cloud,Y,0,No
"(100, 200]",2 to 10,None,12,Caused damage,2,Approach,None,Medium,Overcast,Y,0,Yes
"(30, 50]",2 to 10,None,12,No damage,2,Climb,None,Small,No Cloud,N,0,Yes
"(-1, 0]",2 to 10,None,12,No damage,1,Take-off run,None,Small,No Cloud,Y,0,No
"(30, 50]",2 to 10,None,12,No damage,2,Approach,None,Small,Overcast,N,0,No
"(10, 30]",2 to 10,None,12,No damage,2,Climb,None,Small,No Cloud,N,0,No
"(600, 1000]",2 to 10,None,12,No damage,2,Approach,None,Large,No Cloud,N,0,No
"(10, 30]",2 to 10,None,12,No damage,2,Approach,None,Medium,Some Cloud,N,0,No
"(-1, 0]",2 to 10,None,12,No damage,2,Take-off run,None,Small,Some Cloud,N,0,No
"(-1, 0]",2 to 10,None,12,No damage,2,Landing Roll,None,Small,Some Cloud,N,0,Yes
"(100, 200]",2 to 10,None,12,No damage,3,Approach,None,Small,Overcast,N,0,No
"(-1, 0]",2 to 10,None,12,No damage,2,Take-off run,None,Small,No Cloud,N,0,Yes
"(-1, 0]",2 to 10,None,12,No damage,2,Take-off run,None,Small,No Cloud,Y,0,No
"(1000, 2000]",2 to 10,None,12,No damage,2,Approach,None,Large,No Cloud,Y,0,No
"(30, 50]",2 to 10,None,12,No damage,2,Approach,None,Small,Some Cloud,N,0,No
"(50, 100]",2 to 10,None,12,No damage,2,Approach,None,Small,No Cloud,Y,0,No
"(-1, 0]",2 to 10,None,12,No damage,2,Landing Roll,None,Small,Some Cloud,N,0,No
"(10, 30]",2 to 10,None,12,No damage,2,Approach,None,Small,No Cloud,N,0,No
"(-1, 0]",2 to 10,None,12,No damage,2,Landing Roll,None,Small,Some Cloud,N,0,No
"(0, 10]",2 to 10,None,12,No damage,2,Approach,None,Small,Overcast,N,0,No
"(-1, 0]",2 to 10,Precautionary Landing,12,Caused damage,2,Take-off run,None,Medium,Overcast,Y,0,No
"(200, 400]",2 to 10,None,12,No damage,2,Climb,None,Small,Overcast,N,0,Yes
"(-1, 0]",2 to 10,None,1,No damage,2,Take-off run,None,Small,Some Cloud,N,0,No
"(600, 1000]",2 to 10,None,1,No damage,2,Approach,Fog,Small,Some Cloud,Y,0,No
"(-1, 0]",2 to 10,None,1,No damage,2,Landing Roll,None,Small,No Cloud,N,0,No
"(200, 400]",2 to 10,None,1,Caused damage,2,Climb,Fog,Medium,Some Cloud,N,0,Yes
"(-1, 0]",2 to 10,None,1,No damage,2,Take-off run,None,Small,Some Cloud,N,0,Yes
"(100, 200]",2 to 10,Precautionary Landing,1,Caused damage,2,Climb,None,Large,Some Cloud,Y,0,Yes
"(600, 1000]",2 to 10,None,1,No damage,2,Approach,None,Small,No Cloud,N,0,Yes
"(0, 10]",2 to 10,None,1,No damage,2,Approach,None,Small,No Cloud,N,0,No
"(1000, 2000]",2 to 10,None,1,No damage,2,Approach,None,Large,No Cloud,Y,0,No
"(-1, 0]",2 to 10,None,1,No damage,2,Landing Roll,None,Small,No Cloud,Y,0,Yes
"(50, 100]",2 to 10,None,1,Caused damage,2,Approach,None,Large,Some Cloud,Y,0,No
"(50, 100]",2 to 10,None,1,No damage,2,Approach,Rain,Small,Overcast,N,0,Yes
"(0, 10]",2 to 10,None,1,No damage,2,Approach,None,Small,Overcast,Y,0,Yes
"(200, 400]",2 to 10,None,1,No damage,2,Approach,None,Large,No Cloud,Y,0,No
"(-1, 0]",2 to 10,Aborted Take-off,1,Caused damage,2,Take-off run,None,Small,No Cloud,Y,0,No
"(-1, 0]",2 to 10,None,1,No damage,2,Landing Roll,None,Small,No Cloud,Y,0,Yes
"(1000, 2000]",2 to 10,None,1,No damage,2,Approach,None,Small,No Cloud,N,0,Yes
"(400, 600]",2 to 10,None,1,No damage,2,Approach,Fog,Medium,Overcast,Y,0,No
"(600, 1000]",2 to 10,None,1,Caused damage,2,Approach,Rain,Medium,Some Cloud,Y,0,No
"(-1, 0]",2 to 10,None,1,No damage,2,Take-off run,None,Small,No Cloud,N,0,No
"(-1, 0]",2 to 10,None,1,No damage,2,Take-off run,None,Small,Some Cloud,N,0,No
"(10, 30]",2 to 10,None,1,No damage,2,Climb,None,Small,No Cloud,Y,0,No
"(50, 100]",2 to 10,None,1,No damage,2,Approach,None,Small,Some Cloud,N,0,No
